,,Steve,Pyra/Mythra,Joker,R.O.B.,Sonic,Roy,Kazuya,Wolf,Palutena,Fox,PAC-MAN,Pikachu,Cloud,Peach/Daisy,Mr. Game & Watch,Snake,Shulk,Min Min,Pokémon Trainer,Diddy Kong,Lucina,Wario,Samus/Dark Samus,Mario,Young Link,Zero Suit Samus,Sephiroth,Yoshi,Terry,Olimar,Greninja,Byleth,Mii Brawler,Sora,Ness,Ryu,Sheik,Falco,Mega Man,Ken,Inkling,Bayonetta,Captain Falcon,Luigi,Chrom,Corrin,Rosalina & Luma,Hero,Link,Bowser,Pichu,Wii Fit Trainer,Lucas,Toon Link,Incineroar,Ice Climbers,Marth,Meta Knight,Jigglypuff,Pit,Dark Pit,Robin,Mewtwo,Ridley,Ike,Simon/Richter,Mii Gunner,Duck Hunt,Donkey Kong,Villager,Bowser Jr.,Banjo & Kazooie,Dr. Mario,Lucario,Isabelle,Kirby,King K. Rool,Zelda,Piranha Plant,Mii Swordfighter,King Dedede,Little Mac,Ganondorf,Squirtle,Ivysaur,Charizard,Pyra,Mythra,Best Matchup,,Worst Matchup,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve,,-,-0.9,-0.3,-0.1,-0.7,0.0,0.8,0.2,0.4,0.7,0.5,-0.1,-0.9,0.5,0.4,-0.4,-1.1,-0.4,-0.5,0.9,0.5,1.2,1.2,0.5,0.0,-0.9,-1.0,-0.2,0.2,-0.1,0.2,-0.1,0.4,-0.1,0.9,1.2,1.4,-0.2,0.4,1.1,1.3,0.2,0.8,0.6,0.2,-0.2,0.6,-0.8,0.3,1.3,0.3,0.6,1.2,0.9,1.3,1.6,0.9,1.1,1.2,0.9,0.9,-0.6,0.9,0.7,0.1,-0.3,0.5,0.3,1.8,0.4,1.5,1.1,1.0,1.2,1.0,1.8,1.9,2.0,1.8,0.4,1.8,1.7,1.6,-0.5,-1.1,0.5,-0.3,-1.3,,1.98,,-1.33
Pyra/Mythra,,0.9,-,-0.3,1.3,0.3,0.4,0.5,-0.2,0.6,0.2,0.5,-0.3,0.5,0.1,1.0,0.1,-0.1,-0.3,0.3,-0.4,0.7,1.2,1.0,0.7,1.5,1.3,0.5,1.1,0.8,0.6,0.3,1.3,0.4,1.1,1.2,0.9,0.2,1.1,0.6,1.0,0.4,1.6,0.8,0.7,0.6,1.4,1.5,1.0,1.4,1.0,-0.1,1.5,0.8,1.3,1.2,1.7,0.9,0.6,1.3,0.9,0.9,1.3,0.6,0.7,1.3,1.7,0.7,1.6,1.4,1.4,1.7,0.9,1.5,1.2,1.8,1.1,1.4,1.3,1.7,1.1,1.6,1.3,1.8,1.0,1.0,1.0,-,-,,1.82,,-0.36
Joker,,0.3,0.3,-,0.0,-1.2,0.7,0.9,0.2,0.6,0.4,0.2,-1.0,1.2,0.1,0.3,0.8,0.2,0.5,0.2,-0.4,0.9,0.7,0.6,0.5,0.7,0.9,1.0,0.6,0.6,0.1,0.3,1.4,0.4,0.6,0.6,0.6,-0.3,1.4,-0.5,0.1,-1.0,0.9,0.9,1.1,1.5,1.3,1.0,1.1,0.8,1.2,-0.6,0.8,0.7,1.2,1.1,1.2,1.2,0.3,0.5,0.7,0.7,1.0,0.6,0.9,1.3,1.9,0.8,1.5,1.2,1.0,1.3,1.0,1.2,0.6,1.0,0.9,1.7,1.2,1.0,1.5,1.4,1.6,1.7,-1.0,1.0,1.0,1.0,0.0,,1.95,,-1.16
R.O.B.,,0.1,-1.3,0.0,-,-0.1,-0.8,0.7,0.6,-0.6,-0.3,0.7,-1.2,0.0,0.2,-1.5,0.1,0.7,1.2,0.7,-0.9,-0.1,-0.5,0.0,-0.9,-0.7,-0.8,0.1,-0.5,0.1,1.0,-0.1,0.2,-0.4,-0.5,0.6,0.4,-1.0,-0.4,-0.7,0.0,1.1,-1.2,0.1,0.6,-0.2,0.2,-0.2,0.9,-0.2,0.6,0.2,0.5,1.0,0.5,1.4,0.8,0.4,-0.3,0.3,0.2,0.2,0.9,0.4,1.5,1.3,1.3,0.9,0.9,1.4,0.4,0.7,1.3,0.9,0.7,0.5,1.6,1.9,0.8,1.6,0.7,1.5,1.6,1.8,-,-,-,-1.0,-1.0,,1.88,,-1.51
Sonic,,0.7,-0.3,1.2,0.1,-,-0.9,1.7,0.0,-0.1,-0.4,0.0,-0.3,0.1,0.5,0.8,0.0,0.2,0.7,0.9,0.6,1.4,1.2,0.1,0.6,0.1,0.0,0.2,0.7,0.3,0.8,0.7,1.4,0.9,0.2,0.4,0.5,0.5,1.0,0.1,1.5,0.3,1.5,0.6,0.8,0.5,0.2,0.1,1.0,0.6,1.2,-0.2,0.6,0.8,1.0,2.0,0.6,1.3,0.8,1.8,0.6,0.6,1.0,0.1,0.5,0.8,1.6,1.1,0.6,1.3,1.0,0.9,1.1,1.7,0.5,0.8,1.5,1.6,2.0,1.4,0.5,1.7,1.6,1.8,1.5,1.0,1.0,1.0,0.0,,2.00,,-0.87
Roy,,0.0,-0.4,-0.7,0.8,0.9,-,-0.2,0.5,0.7,0.0,0.2,-1.2,0.3,0.0,-0.6,-0.4,0.3,0.2,0.1,-0.4,0.1,0.2,0.7,0.1,0.6,1.2,0.3,0.8,0.5,-0.1,-0.4,0.3,0.6,0.6,0.7,0.2,-0.4,0.9,0.9,0.7,-0.2,0.1,0.8,-0.3,0.3,1.2,1.2,1.0,0.6,0.4,-1.0,1.1,0.0,0.9,0.5,0.1,0.5,0.8,1.0,0.8,0.8,0.8,0.8,0.4,1.7,1.1,0.3,0.6,1.1,0.8,1.1,0.9,1.0,1.8,1.5,0.0,1.2,0.9,0.8,1.4,1.1,0.8,1.0,-,-,-,-0.8,-0.8,,1.85,,-1.17
Kazuya,,-0.8,-0.5,-0.9,-0.7,-1.7,0.2,-,0.3,0.0,0.3,0.4,-0.9,-0.3,-0.6,-0.4,-0.9,-1.1,-1.3,-0.2,-1.4,0.3,0.3,-0.9,0.7,-0.6,-0.1,-0.6,-0.1,0.8,0.5,-1.0,-0.1,0.4,0.1,-0.1,0.4,-0.5,0.5,0.5,0.3,-0.1,-0.4,0.5,-0.1,0.0,0.1,0.0,-0.2,0.1,1.4,-0.4,0.4,0.5,0.0,0.8,0.3,0.9,0.0,0.6,0.8,0.8,0.1,0.7,0.3,0.5,-0.6,0.0,0.1,1.3,0.6,0.8,0.8,0.9,1.8,1.2,-0.1,0.9,0.4,1.3,-0.4,0.8,0.8,1.2,-,-,-,-,-,,1.75,,-1.68
Wolf,,-0.2,0.2,-0.2,-0.6,0.0,-0.5,-0.3,-,0.4,0.0,1.2,-0.4,0.7,0.1,0.2,0.4,-0.3,0.5,0.1,0.6,0.1,0.4,0.9,-0.2,1.3,1.2,0.7,0.8,0.2,0.9,0.3,0.6,0.1,0.5,0.3,0.1,-0.1,0.4,1.1,-0.7,0.0,1.1,0.4,0.8,0.1,0.9,0.4,1.0,1.0,-0.3,0.1,1.4,0.7,1.3,0.6,-0.1,0.6,0.8,0.8,0.6,0.7,1.1,0.7,-0.1,0.7,0.8,0.7,1.2,0.7,1.3,0.8,1.0,0.6,1.7,1.5,1.0,0.9,1.4,1.1,0.5,0.9,0.9,0.8,-,-,-,-,-,,1.68,,-0.71
Palutena,,-0.4,-0.6,-0.6,0.6,0.1,-0.7,0.0,-0.4,-,-0.2,0.9,-0.9,-0.1,-0.4,0.5,0.1,0.5,0.1,-0.3,-1.1,0.1,0.5,0.3,0.5,0.6,0.0,-0.3,1.3,0.3,-0.3,-0.4,0.3,0.4,0.3,1.4,0.7,0.1,0.2,0.7,0.2,-0.3,0.3,0.9,0.7,0.4,0.4,1.2,0.6,0.9,1.2,-0.3,0.5,0.4,1.2,1.3,0.6,0.5,-0.3,0.9,0.4,0.4,1.0,1.2,1.6,1.4,0.6,1.4,1.2,1.7,1.7,1.6,1.1,1.5,1.5,1.6,0.2,1.8,0.9,1.2,1.5,1.7,0.8,1.7,-,-,-,0.0,-1.0,,1.80,,-1.06
